ジョブ名,カード名,カテゴリー,コスト,強度,カード効果・戦術解説
機動騎兵,機動騎兵,肉体・パッシブ,4,1,場に配置されている召喚ユニット1体を指定。指定したユニットの強度と同じ値をイニシアチブに足す。◆ジョブカード
機動騎兵,アニマビークル,肉体・パッシブ,4,2,召喚　攻2／防4。イニシアチブ＋2。このユニットは攻撃と防御を1回ずつ行うことができる。
機動騎兵,チェイスダウン,肉体・アクション,2,2,配置されている召喚ユニット1体の攻撃力を2倍にする。
機動騎兵,ライドオン,肉体・パッシブ,4,1,場に召喚ユニットがいる場合、回収フェイズでコスト3以下のカード1枚を手札に加える。
機動騎兵,ドリフトヴェイド,肉体・リアクション,3,3,受けるダメージを3点軽減する。攻撃した対象のイニシアチブと自分のイニシアチブ差分をダメージ軽減に追加する。
機動騎兵,フルスロットルチャージ,肉体・アクション,3,3,イニシアチブ＋4。ダメージ＋2。イニシアチブが10を超える場合、ダメージ＋5に変更。
機動騎兵,人馬一体,肉体・アクション,3,3,ダメージ＋3。場に召喚ユニットがいる場合、イニシアチブ＋3。この効果はこのカードが捨札にある間持続する。
機動騎兵,神速領域,肉体・アクション,5,5,ダメージ＋イニシアチブの値
機動騎兵,スリップストリーム,肉体・リアクション,2,2,受けるダメージを2点軽減する。このダメージでカードが廃棄札に移動しなかった場合、次のラウンドのイニシアチブ＋2する。
重機兵,重機兵,肉体・パッシブ,6,2,受けるダメージを3点軽減する。6点までのダメージを受ける場合、ダメージを無効化する。イニシアチブ-3。手札上限-1。◆ジョブカード
重機兵,超重装甲,肉体・パッシブ,3,1,受けるダメージを3点軽減する。イニシアチブ-1。
重機兵,鈍重な鉄槌,肉体・アクション,1,1,ダメージ＋5。リアクション不可。このカードに自身のカードでコンボを繋ぐことはできない。
重機兵,不落の城塞,肉体・リアクション,3,3,受けるダメージを5点軽減する。
重機兵,アニマオーバーロード,肉体・パッシブ,4,1,ダメージを能力値で受ける時、能力値を＋2として扱う。
重機兵,リアクティブアーマー,肉体・パッシブ,3,3,ダメージ以外の不利な効果を全て無効化する。この効果を使用した時、このカードは廃棄札に移動する。
重機兵,パイルバンカー,肉体・アクション,6,6,ダメージ＋6。リアクションされなかった場合、ダメージ＋15に変更。
機工士,機工士,知性・パッシブ,4,1,自身の召喚ユニットを廃棄札から手札へ移動する。この効果は戦闘中に1度しか使えない。◆ジョブカード
機工士,スクラップリサイクル,知性・パッシブ,2,2,自身の召喚ユニットが廃棄札に移動した時、山札から手札に1枚移動する。
機工士,オートマトンタレット,知性・アクション,4,4,召喚　攻3／防2。このユニットの攻撃とは別に、任意の対象1体にダメージ1点を与える。
機工士,セントリードローン,知性・アクション,2,3,召喚　攻1／防2。このユニットが配置されている間は味方陣営は受けるダメージ1点軽減。
機工士,クロス・ファイア,知性・アクション,4,4,場に出ている召喚ユニット1枚につき、ダメージ＋2
機工士,ワイヤートラップ,知性・リアクション,4,4,受けるダメージを3点軽減。このカードが捨札にある間、攻撃してきた対象のイニシアチブ-2。
機工士,ディストラクトオーダー,知性・パッシブ,4,1,自分の召喚ユニットが廃棄札へ移動した時、ユニットを攻撃した対象にダメージ＋5＋（廃棄したカードのコスト）
